2017-04-25 07:24:37,INT-15063/17,"przy Zaporoskiej, vis a vis Poscom niebieski Opel Corsa",parkuje na trawniku niszcz?c ro?linno??. ,NISZCZENIE ZIELENI ,KRUCZA / ,0,2017-04-25 09:23:17
2017-04-25 09:21:41,INT-15076/17,NA WYSOKOSCI APTEKI,PARKOWANIE POJAZDÓW ZA ZNAKIEM B-36+T-24.  ,NIEPRAWID?OWE PARKOWANIE,JOANNITÓW 22/ ,100,2017-04-25 12:12:46
2017-04-25 09:50:00,INT-15084/17,Parkowanie za B-36,BLOKADA ,SIKORSKIEGO / ,0,,2017-04-25 10:41:28
2017-04-25 11:15:00,INT-15147/17,NIEPRAWID?OWE,PARKOWANIE P-21 ,NIEPRAWID?OWE PARKOWANIE ,WYBRZE?E WYSPIA?SKIEGO / ,100,2017-04-25 17:41:02
2017-04-25 11:39:44,INT-15089/17,parkowanie,za b-36 ,LAWETY ,KOTLARSKA / ,100,2017-04-25 11:39:49
2017-04-25 11:49:14,INT-15093/17,pzrej?cie pzrez jezdnie w momencie gdy sygnalizator nadawa? sygna? s-5,BEZPIECZE?STWO W KOMUNIKACJI ,PI?SUDSKIEGO / ,0,,2017-04-25 11:49:35
2017-04-25 12:15:03,INT-15096/17,PARKOWANIE POJAZDÓW NIEUPRAWNIONYCH NA POSTOJU TAXI. ,NIEPRAWID?OWE,PARKOWANIE ,ZIELI?SKIEGO / ,100,2017-04-25 16:32:40
2017-04-25 12:55:46,INT-15105/17,parkowanie za b-36,BLOKADA ,BERNARDY?SKA / ,100,,2017-04-25 12:55:58
2017-04-25 12:58:22,INT-15106/17,parkowanie za b-36,BLOKADA ,CYBULSKIEGO / ,100,,2017-04-25 12:58:30
2017-04-25 13:08:34,INT-15111/17,OD UL. GRODZKIEJ.,PARKOWANIE POJAZDÓW ZA ZNAKIEM B-36+T-24.  ,NIEPRAWID?OWE PARKOWANIE,WI?ZIENNA / ,0,2017-04-25 18:39:47
2017-04-25 13:56:49,INT-15118/17,NA CA?EJ SZEROKO?CI,CHODNIKA ZAPARKOWANY POJAZD MARKI AUDI  ,NIEPRAWID?OWE PARKOWANIE,WRO?SKIEGO 17/ ,100,2017-04-27 10:59:15
2017-04-25 15:05:00,INT-15132/17,kontrola parkowania,na P-21 ,NIEPRAWID?OWE PARKOWANIE ,W?ODKOWICA / ,100,2017-04-25 16:39:05
2017-04-25 15:11:08,INT-15126/17,SKRZYZOWANIE Z UL. ESTO?SKA.,HANDEL ODZIE??.  ,HANDEL ,STRZEGOMSKA / ,100,2017-04-25 16:56:53
2017-04-25 15:20:00,INT-15135/17,KONTROLA NIEPRAWI?OWEGO PARKOWANIA,NIEPRAWID?OWE PARKOWANIE ,TEATRALNA / ,500,,2017-04-25 16:45:12
2017-04-25 15:20:00,INT-15135/17,KONTROLA,NIEPRAWI?OWEGO PARKOWANIA ,NIEPRAWID?OWE PARKOWANIE ,TEATRALNA / ,100,2017-04-25 16:45:12
2017-04-25 15:25:00,INT-15133/17,kontrola,parkowania za znakiem B-36 ,NIEPRAWID?OWE PARKOWANIE ,BIA?OSKÓRNICZA / ,100,2017-04-25 16:40:04
2017-04-25 15:30:00,INT-15134/17,kontrola parkowania za znakiem B-36 ,NIEPRAWID?OWE PARKOWANIE ,ODRZA?SKA /,100,,2017-04-25 16:41:12
2017-04-25 18:20:32,INT-15148/17,PARKOWANIE POJAZDÓW,ZA ZNAKIEM B-36.jesionowa 72 parkowanie nna kopercie dla inwalidy,NIEPRAWID?OWE PARKOWANIE ,JESIONOWA 43/ ,100,2017-04-26 02:21:33
2017-04-26 08:43:16,INT-15187/17,PARKOWANIE NA RONDZIE,NIEPRAWID?OWE PARKOWANIE ,PRZYJA?NI 2/ ,0,,2017-04-26 09:44:26
2017-04-26 08:55:49,INT-15186/17,a ul. Wielka   czarny suv BMW  blokuje,chodnik  ,NIEPRAWID?OWE PARKOWANIE ,TRWA?A / ,0,2017-04-26 09:19:27
2017-04-26 11:19:36,INT-15209/17,parkowanie pojazdów w,strefie zamieszkania poza miejscami wyznaczonymi  ,NIEPRAWID?OWE PARKOWANIE,OFIAR O?WI?CIMSKICH 44/ ,0,2017-04-26 14:51:54
2017-04-26 13:58:05,INT-15235/17,Bar,Statek zezwolenieZ1.4016.140.2017.RT ,HANDEL ,BULWAR PIOTRA W?OSTOWICA 1/ ,150,2017-05-04 08:53:26
2017-04-26 14:55:00,INT-15252/17,kontrola parkowania za znakiem B-36 ,NIEPRAWID?OWE PARKOWANIE ,GWIA?DZISTA,/ ,100,2017-04-26 15:28:10
2017-04-26 18:10:23,INT-15275/17,PARKOWANIE ZA B-36 W STREFIE RUCHU,NIEPRAWID?OWE PARKOWANIE ,KRZYCKA 92 BCD/ ,0,,2017-04-27 00:00:15
2017-04-27 06:11:09,INT-15314/17,"Altanowa a Pereca pojazdy parkuj? na skrzy?owaniu, ograniczaj? widoczno??.",NIEPRAWID?OWE PARKOWANIE ,ALTANOWA / ,WEZWANIE ,0,2017-04-27 09:51:22
2017-04-27 09:15:00,INT-15395/17,kontrola stosowania sie pieszych do S-5 ,WYKROCZENIA PIESZYCH ,KAZIMIERZA,WIELKIEGO / ,100,2017-04-27 13:27:11
2017-04-27 09:40:00,INT-15440/17,pojazdy parkuja za B-,36 ,BLOKADA ,MARII MAGDALENY / ,100,2017-04-27 17:42:57
