Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2016-08-02 19:10:00,INT-30143/16,Niezastosowanie się do sygnalizatora S-5,BEZPIECZEŃSTWO W KOMUNIKACJI,STRZEGOMSKA /,POUCZENIE,0,2016-08-03 08:48:36
2016-08-02 17:30:00,INT-30139/16,Wyprowadzanie psa bez smyczy,PIES,NOWODWORSKA /,POUCZENIE,0,2016-08-03 08:33:55
2016-08-02 19:35:00,INT-30145/16,Parkowanie na terenie zielonym(niszczenie roslinności),NIEPRAWIDŁOWE PARKOWANIE,NOWODWORSKA /,POUCZENIE,0,2016-08-03 09:02:25
2016-08-02 16:55:00,INT-30723/16,spozywanie alkoholu,SPOŻYWANIE ALKOHOLU,PLAC ŚW.MACIEJA /,MANDAT,100,2016-08-08 20:18:08
2016-08-02 20:10:00,INT-30141/16,Spożywanie alkoholu w miejscu zabronionym ustawą.,SPOŻYWANIE ALKOHOLU,ŻERNICKA /,POUCZENIE,0,2016-08-03 08:39:19
2016-08-02 07:29:26,INT-30011/16,POJAZD NA POZNAŃSKIEJ REJESTRACJI ZAPARKOWANY NA KOPERCIE ZZK,NIEPRAWIDŁOWE PARKOWANIE,ŚW. ELŻBIETY /,WEZWANIE,0,2016-08-02 08:09:02
2016-08-02 08:11:09,INT-30016/16,Parkujące pojazdy na ściezce dla rowerów oraz na wys. nr.6 pojazd zaparkowany na całej szerokosci chodnika.,NIEPRAWIDŁOWE PARKOWANIE,BENEDYKTYŃSKA 6/,WEZWANIE,0,2016-08-02 12:04:41
2016-08-02 08:15:07,INT-30017/16,Pojazdy zaparkowane w strefie zamieszkania w miejscu nie wyznaczonym.,NIEPRAWIDŁOWE PARKOWANIE,BULWAR DEDALA 16-18/,,0,2016-08-02 09:11:20
2016-08-02 08:18:29,INT-30018/16,Pojazd zaparkowany na B-36 od mostu Trzebnickiego.,NIEPRAWIDŁOWE PARKOWANIE,KORZENIOWSKIEGO /,WEZWANIE,100,2016-08-02 10:22:56
2016-08-02 08:33:15,INT-30021/16,handel owoce-warzywa,HANDEL,ŻELAZNA 38/,MANDAT,50,2016-08-02 09:39:56
2016-08-02 09:55:41,INT-30029/16,Handel warzywami.,HANDEL,HORBACZEWSKIEGO 17/,MANDAT,50,2016-08-02 11:19:38
2016-08-02 10:03:18,INT-30030/16,nielegalny handel,HANDEL,JEMIOŁOWA /,MANDAT,50,2016-08-02 16:54:30
2016-08-02 10:09:54,INT-30031/16,postój Taxi - pojazdy nieuprawnione,NIEPRAWIDŁOWE PARKOWANIE,ŚW. MIKOŁAJA /,,100,2016-08-02 10:42:44
2016-08-02 10:46:30,INT-30038/16,"Zgłaszający twierdzi, że na terenie nieruchomości prowadzona jest działalność z zakresu recyklingu sprzętu AGD a elementy plastikowe oraz opalanie kabli odbywa się w piecu na terenie nieruchomości.Ponowne zgłoszenia dnia 11.08.2016r. (673)","WYPALANIE, OGNISKO",WŁOŚCIAŃSKA 30/,BEZ UWAG,0,2016-08-02 10:47:51
2016-08-02 11:09:43,INT-30041/16,Pojazdy zaparkowane na całej szerokości chodnika u zbiegu z ul.Jodłową oraz Łaciarską.,NIEPRAWIDŁOWE PARKOWANIE,NANKIERA /,WEZWANIE,0,2016-08-02 11:55:46
2016-08-02 11:20:00,INT-30045/16,Parkowanie na miejscu dla osób niepełnosprawnych bez uprawnień,BEZPIECZEŃSTWO W KOMUNIKACJI,DOBRZYŃSKA /,,500,2016-08-02 11:39:26
2016-08-02 10:30:00,INT-30046/16,Parkowanie na P21,BEZPIECZEŃSTWO W KOMUNIKACJI,POWSTAŃCÓW ŚLĄSKICH /,,100,2016-08-02 11:42:38
2016-08-02 10:25:00,INT-30047/16,Parkowanie na skrzyżowaniu z ul. Energetyczną,BEZPIECZEŃSTWO W KOMUNIKACJI,PRETFICZA /,,300,2016-08-02 11:45:07
2016-08-02 10:25:00,INT-30047/16,Parkowanie na skrzyżowaniu z ul. Energetyczną,BEZPIECZEŃSTWO W KOMUNIKACJI,PRETFICZA /,,0,2016-08-02 11:45:07
2016-08-02 11:52:15,INT-30048/16,Zablokowany wyjazd z podwórza.,NIEPRAWIDŁOWE PARKOWANIE,PRETFICZA 11/,LAWETA,100,2016-08-02 12:47:57
2016-08-02 12:16:50,INT-30050/16,Pojazdy zaparkowane na B-35.,NIEPRAWIDŁOWE PARKOWANIE,KONDUKTORSKA 2/,WEZWANIE,0,2016-08-02 12:36:18
2016-08-02 09:50:00,INT-30052/16,Kontrola pod katem art 145 kw,PORZĄDKOWA,PURKYNIEGO /,POUCZENIE,0,2016-08-02 12:47:58
2016-08-02 12:05:00,INT-30055/16,Spożywanie alkoholu w miejscu zabronionym ustawa.,SPOŻYWANIE ALKOHOLU,DOKERSKA /,MANDAT,100,2016-08-02 12:57:52
2016-08-02 08:50:00,INT-30056/16,Handel na terenie gminy bez zezwolenia,HANDEL,PILCZYCKA /,MANDAT,100,2016-08-02 13:03:13
2016-08-02 12:25:00,INT-30058/16,stoisko handlowe na terenie gminnym,HANDEL,PRZYJAŹNI /,MANDAT,50,2016-08-02 13:05:49
2016-08-02 11:30:00,INT-30059/16,parkowanie pojazdów w miejscu obowiązywania znaku B-36 i T-24,NIEPRAWIDŁOWE PARKOWANIE,KOMANDORSKA /,LAWETA,0,2016-08-02 13:16:06
2016-08-02 11:00:00,INT-30060/16,Parkowanie za B-36,BLOKADA,GWARNA /,,100,2016-08-02 13:23:57
2016-08-02 11:00:00,INT-30060/16,Parkowanie za B-36,BLOKADA,GWARNA /,,0,2016-08-02 13:23:57
2016-08-02 14:25:00,INT-30072/16,parkowanie na miejscu dla osoby niepełnosprawnej bez uprawnień,NIEPRAWIDŁOWE PARKOWANIE,UNIWERSYTECKA /,LAWETA,500,2016-08-02 15:32:55
2016-08-02 15:00:00,INT-30075/16,Kontrola handlu na terenie parku kulturowego,HANDEL,OŁAWSKA /,MANDAT,100,2016-08-02 15:36:37
2016-08-02 15:00:00,INT-30075/16,Kontrola handlu na terenie parku kulturowego,HANDEL,OŁAWSKA /,MANDAT,200,2016-08-02 15:36:37
2016-08-02 14:40:00,INT-30078/16,parkowanie na postoju TAXI bez uprawnień,BLOKADA,KOMANDORSKA /,,100,2016-08-02 16:37:31
2016-08-02 12:30:00,INT-30087/16,Spożywanie alkoholu w miejscu zabronionym.,SPOŻYWANIE ALKOHOLU,PARK LEŚNICKI /,,100,2016-08-02 17:57:28
2016-08-02 14:45:00,INT-30090/16,parkowanie za B-36,BLOKADA,PIŁSUDSKIEGO /,,100,2016-08-02 18:27:33
2016-08-02 12:15:00,INT-30095/16,Usiłowanie spożycia alkoholu na przystanku MPK o nr 18392.,SPOŻYWANIE ALKOHOLU,RUBCZAKA /,MANDAT,100,2016-08-02 19:19:15
2016-08-02 10:05:00,INT-30096/16,Spożywanie alkoholu w miejscu zabronionym przez ustawę.,SPOŻYWANIE ALKOHOLU,PARK ZACHODNI /,MANDAT,100,2016-08-02 19:24:16
2016-08-02 14:55:00,INT-30097/16,"Art 92,1 kw - B-1",BEZPIECZEŃSTWO W KOMUNIKACJI,MOSTY MŁYŃSKIE /,MANDAT,50,2016-08-02 19:47:20
2016-08-02 20:06:33,INT-30105/16,Kontrola nieruchomości przy ul. Miłoszyckiej pod kątem posiadania rachunków za wywóz nieczystości ciekłych.Współpraca z Wydziałem Środowiska i Rolnictwa,PORZĄDKOWA,"MIŁOSZYCKA 26, 57, 65/",MANDAT,500,2016-08-11 09:04:35
2016-08-02 20:31:48,INT-30104/16,POJAZDY ZA D-40 W MIEJSCACH INNYCH NIŻ WYZNACZONE,NIEPRAWIDŁOWE PARKOWANIE,BULWAR DEDALA 24/,,0,2016-08-02 21:32:11
2016-08-02 21:12:56,INT-30109/16,OD STR. KRUPNICZEJ NA ZAKAZIE POJAZDY PO OBU STR. JEZDNI,NIEPRAWIDŁOWE PARKOWANIE,WŁODKOWICA /,MANDAT,100,2016-08-02 22:59:01
2016-08-03 22:40:00,INT-30249/16,Parkowanie za B36,BEZPIECZEŃSTWO W KOMUNIKACJI,ŚLĘŻNA /,,100,2016-08-04 06:24:14
2016-08-03 21:05:00,INT-30250/16,"Parkowanie na chodniku brak 1,5m ",BEZPIECZEŃSTWO W KOMUNIKACJI,WIĘZIENNA /,,0,2016-08-04 06:25:37
2016-08-03 22:40:00,INT-30249/16,Parkowanie za B36,BEZPIECZEŃSTWO W KOMUNIKACJI,ŚLĘŻNA /,,0,2016-08-04 06:24:14
2016-08-03 21:40:00,INT-30251/16,Parkowanie na postoju TAXI bez uprawnień,BEZPIECZEŃSTWO W KOMUNIKACJI,NASYPOWA /,,0,2016-08-04 06:26:58
2016-08-03 14:20:00,INT-30265/16,parkowanie za B-36 oraz na P-21,BLOKADA,ZAPOROSKA /,,100,2016-08-04 07:57:48
2016-08-03 14:20:00,INT-30265/16,parkowanie za B-36 oraz na P-21,BLOKADA,ZAPOROSKA /,,50,2016-08-04 07:57:48
2016-08-03 16:30:00,INT-30451/16,Parkowanie za B-36,BLOKADA,SWOBODNA /,,50,2016-08-05 15:14:17
2016-08-03 16:30:00,INT-30451/16,Parkowanie za B-36,BLOKADA,SWOBODNA /,,100,2016-08-05 15:14:17
